profile,context,term,obligation,note
DCAT-AP 3.0.0,dcat:DatasetSeries,(complex path),mandatory,sh:Warning
DCAT-AP 3.0.0,dcat:DatasetSeries,dcatap:applicableLegislation,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:DatasetSeries,dcat:contactPoint,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:DatasetSeries,dct:description,mandatory,sh:Violation
DCAT-AP 3.0.0,dcat:DatasetSeries,dct:accrualPeriodicity,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:DatasetSeries,dct:spatial,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:DatasetSeries,dct:modified,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:DatasetSeries,dct:publisher,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:DatasetSeries,dct:issued,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:DatasetSeries,dct:temporal,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:DatasetSeries,dct:title,mandatory,sh:Violation
DCAT-AP 3.0.0,adms:Identifier,skos:notation,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:Relationship,dct:relation,mandatory,sh:Violation
DCAT-AP 3.0.0,dcat:Relationship,dcat:hadRole,mandatory,sh:Violation
DCAT-AP 3.0.0,dct:Location,dcat:bbox,optional/other,sh:Violation
DCAT-AP 3.0.0,dct:Location,dcat:centroid,optional/other,sh:Violation
DCAT-AP 3.0.0,dct:Location,lcon:geometry,optional/other,sh:Violation
DCAT-AP 3.0.0,skos:ConceptScheme,dct:title,mandatory,sh:Violation
DCAT-AP 3.0.0,spdx:Checksum,spdx:algorithm,mandatory,sh:Violation
DCAT-AP 3.0.0,spdx:Checksum,spdx:checksumValue,mandatory,sh:Violation
DCAT-AP 3.0.0,dct:PeriodOfTime,dcat:endDate,optional/other,sh:Violation
DCAT-AP 3.0.0,dct:PeriodOfTime,time:hasBeginning,optional/other,sh:Violation
DCAT-AP 3.0.0,dct:PeriodOfTime,time:hasEnd,optional/other,sh:Violation
DCAT-AP 3.0.0,dct:PeriodOfTime,dcat:startDate,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:DataService,dct:accessRights,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:DataService,dcatap:applicableLegislation,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:DataService,dct:conformsTo,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:DataService,dcat:contactPoint,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:DataService,dct:description,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:DataService,dcat:endpointURL,mandatory,sh:Violation
DCAT-AP 3.0.0,dcat:DataService,dcat:endpointDescription,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:DataService,dct:format,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:DataService,dcat:keyword,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:DataService,dcat:landingPage,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:DataService,dct:license,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:DataService,dct:publisher,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:DataService,dcat:servesDataset,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:DataService,dcat:theme,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:DataService,dct:title,mandatory,sh:Violation
DCAT-AP 3.0.0,dcat:CatalogRecord,dct:title,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:CatalogRecord,dct:description,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:CatalogRecord,foaf:primaryTopic,mandatory,sh:Violation
DCAT-AP 3.0.0,dcat:CatalogRecord,dct:modified,mandatory,sh:Violation
DCAT-AP 3.0.0,dcat:CatalogRecord,dct:conformsTo,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:CatalogRecord,dct:issued,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:CatalogRecord,adms:status,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:CatalogRecord,dct:language,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:CatalogRecord,dct:source,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:Dataset,dct:accessRights,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:Dataset,dcatap:applicableLegislation,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:Dataset,dct:conformsTo,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:Dataset,dcat:contactPoint,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:Dataset,dct:creator,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:Dataset,dcat:distribution,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:Dataset,dct:description,mandatory,sh:Violation
DCAT-AP 3.0.0,dcat:Dataset,foaf:page,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:Dataset,dct:accrualPeriodicity,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:Dataset,dct:spatial,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:Dataset,dct:hasVersion,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:Dataset,dct:identifier,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:Dataset,dcat:inSeries,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:Dataset,dct:isReferencedBy,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:Dataset,dcat:keyword,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:Dataset,dcat:landingPage,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:Dataset,dct:language,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:Dataset,dct:modified,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:Dataset,adms:identifier,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:Dataset,dct:provenance,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:Dataset,dct:publisher,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:Dataset,prov:qualifiedAttribution,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:Dataset,dcat:qualifiedRelation,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:Dataset,dct:relation,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:Dataset,dct:issued,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:Dataset,adms:sample,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:Dataset,dct:source,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:Dataset,dcat:spatialResolutionInMeters,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:Dataset,dct:temporal,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:Dataset,dcat:temporalResolution,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:Dataset,dcat:theme,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:Dataset,dct:title,mandatory,sh:Violation
DCAT-AP 3.0.0,dcat:Dataset,dct:type,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:Dataset,dcat:version,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:Dataset,adms:versionNotes,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:Dataset,prov:wasGeneratedBy,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:Catalog,dct:language,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:Catalog,dcatap:applicableLegislation,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:Catalog,dct:license,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:Catalog,dct:issued,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:Catalog,dct:spatial,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:Catalog,dct:hasPart,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:Catalog,dct:modified,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:Catalog,dct:rights,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:Catalog,dcat:record,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:Catalog,dcat:themeTaxonomy,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:Catalog,dcat:service,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:Catalog,dcat:catalog,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:Catalog,dct:creator,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:Catalog,dcat:dataset,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:Catalog,dct:description,mandatory,sh:Violation
DCAT-AP 3.0.0,dcat:Catalog,dct:publisher,mandatory,sh:Violation
DCAT-AP 3.0.0,dcat:Catalog,dct:title,mandatory,sh:Violation
DCAT-AP 3.0.0,dcat:Catalog,foaf:homepage,optional/other,sh:Violation
DCAT-AP 3.0.0,foaf:Agent,foaf:name,mandatory,sh:Violation
DCAT-AP 3.0.0,foaf:Agent,dct:type,optional/other,sh:Violation
DCAT-AP 3.0.0,skos:Concept,skos:prefLabel,mandatory,sh:Violation
DCAT-AP 3.0.0,dct:LicenseDocument,dct:type,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:Distribution,dcat:accessService,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:Distribution,dcat:accessURL,mandatory,sh:Violation
DCAT-AP 3.0.0,dcat:Distribution,dcatap:applicableLegislation,optional/other,sh:Violation
DCAT-AP 3.0.0,dcat:Distribution,dcatap:availability,optional/other,sh:Violation
