iri,prefix,vocabulary,tier,kind,label,definition,types,parents,domain,range,status,deprecated,source
http://www.w3.org/ns/dcat#Catalog,dcat,DCAT 3,1,class,Catalog,A curated collection of metadata about resources.,owl:Class; rdfs:Class,dcat:Dataset,,,,,https://www.w3.org/ns/dcat.ttl
http://www.w3.org/ns/dcat#CatalogRecord,dcat,DCAT 3,1,class,Catalog Record,"A record in a data catalog, describing the registration of a single dataset or data service.",owl:Class; rdfs:Class,,,,,,https://www.w3.org/ns/dcat.ttl
http://www.w3.org/ns/dcat#DataService,dcat,DCAT 3,1,class,Data service,"A site or end-point providing operations related to the discovery of, access to, or processing functions on, data or related resources.",owl:Class; rdfs:Class,dcat:Resource; dctype:Service,,,,,https://www.w3.org/ns/dcat.ttl
http://www.w3.org/ns/dcat#Dataset,dcat,DCAT 3,1,class,Dataset,"A collection of data, published or curated by a single source, and available for access or download in one or more representations.",owl:Class; rdfs:Class,dcat:Resource,,,,,https://www.w3.org/ns/dcat.ttl
http://www.w3.org/ns/dcat#DatasetSeries,dcat,DCAT 3,1,class,Dataset series,"A collection of datasets that are published separately, but share some common characteristics that groups them.",owl:Class; rdfs:Class,dcat:Dataset,,,,,https://www.w3.org/ns/dcat.ttl
http://www.w3.org/ns/dcat#Distribution,dcat,DCAT 3,1,class,Distribution,"A specific representation of a dataset. A dataset might be available in multiple serializations that may differ in various ways, including natural language, media-type or format, schematic organization, temporal and spatial resolution, level of detail or profiles (which might specify any or all of the above).",owl:Class; rdfs:Class,,,,,,https://www.w3.org/ns/dcat.ttl
http://www.w3.org/ns/dcat#Relationship,dcat,DCAT 3,1,class,Relationship,An association class for attaching additional information to a relationship between DCAT Resources.,owl:Class; rdfs:Class,,,,,,https://www.w3.org/ns/dcat.ttl
http://www.w3.org/ns/dcat#Resource,dcat,DCAT 3,1,class,Catalogued resource,Resource published or curated by a single agent.,owl:Class; rdfs:Class,,,,,,https://www.w3.org/ns/dcat.ttl
http://www.w3.org/ns/dcat#Role,dcat,DCAT 3,1,class,Role,"A role is the function of a resource or agent with respect to another resource, in the context of resource attribution or resource relationships.",owl:Class; rdfs:Class,skos:Concept,,,,,https://www.w3.org/ns/dcat.ttl
http://www.w3.org/ns/dcat#accessService,dcat,DCAT 3,1,property,data access service,A site or end-point that gives access to the distribution of the dataset.,owl:ObjectProperty; rdf:Property,,,dcat:DataService,,,https://www.w3.org/ns/dcat.ttl
